Ticker,ActualClose,MeanPred,MeanErrorPct
MOS,26.6200008392334,26.78199989318848,0.6085614156567667
HPE,21.739999771118164,21.39400015258789,-1.5915346006118147
KO,70.04000091552734,66.65200024414062,-4.837236760566098
IQV,194.009994506836,211.71400146484376,9.125306664231653
PARA,11.470000267028809,10.864000007629397,-5.2833500025400655
TEL,155.77999877929688,148.07400036621092,-4.946718753030364
CAH,127.37999725341795,124.74200048828125,-2.0709662600231535
TXN,203.9600067138672,184.4260009765625,-9.577370609086458
CNP,33.72999954223633,31.99000036621094,-5.158610138273442
BSX,105.36000061035156,96.05799951171875,-8.828778516273944
EXPD,117.26000213623048,112.45200073242188,-4.100291076425836
MLM,506.0400085449219,536.7979995117188,6.078173750577368
SWK,89.93000030517578,87.50999987792969,-2.690982340747101
IRM,93.5,106.23000036621094,13.614973653701545
LLY,873.1199951171875,833.856,-4.496975826549203
WAT,380.80999755859375,380.2379978027344,-0.15020607639675382
CMG,53.04999923706055,59.94399996948242,12.995289032173535
DG,76.12999725341797,74.81200012207032,-1.73124547339778
AMCR,10.390000343322754,9.937999969482423,-4.350340316695119
WRB,60.400001525878906,60.25800003051758,-0.23510180757277924
MSI,434.510009765625,467.0719987792969,7.4939560152448195
CMCSA,36.40999984741211,36.31799963378906,-0.25267842353366904
ADI,243.82000732421875,209.1239989013672,-14.230172824461718
DELL,119.88999938964844,111.89200054931639,-6.67111425560872
MO,54.33000183105469,52.35200015258789,-3.640717120933692
MTD,1303.1300048828125,1318.8840019531249,1.2089351800113834
AMTM,20.75,21.80400010681152,5.079518587043478
GIS,59.18999862670898,60.188000061035154,1.6860980866383017
MET,82.73999786376953,83.18199963378906,0.5342056821747581
WDC,71.29000091552734,65.35599975585937,-8.323749591053119
TDG,1312.5400390625,1306.8600048828125,-0.43275130743779255
DFS,199.8999938964844,186.0599998779297,-6.923458950039571
CVX,158.7899932861328,154.15799975585938,-2.9170563172244606
KEY,17.579999923706055,17.457999984741214,-0.6939700767593737
EVRG,67.25,63.98199984741211,-4.859479780799833
A,136.7899932861328,138.53199951171877,1.2734895175717145
AAPL,245.8300018310547,235.76999999999998,-4.0922595924513665
ABBV,200.8800048828125,183.75400024414063,-8.525489955390373
ABNB,155.30999755859375,135.4879997558594,-12.762860159891588
ABT,133.1699981689453,127.572,-4.2036481534252506
ACGL,89.05000305175781,90.93599951171875,2.11790723787483
ACN,384.8399963378906,375.2599990234375,-2.4893455476602435
ADBE,454.6900024414063,458.7060012207031,0.883238856744894
ADM,46.54999923706055,48.72999993896484,4.683137997065088
ADP,311.9700012207031,296.43599877929694,-4.979325698183609
ADSK,291.0199890136719,296.7100002441406,1.9551960158315451
AEE,97.20999908447266,93.69400067138672,-3.6169102419501495
AEP,104.3499984741211,97.91600073242186,-6.1657861387462
AES,10.670000076293944,11.120000000000001,4.217431307295341
AFL,104.27999877929688,101.34200012207032,-2.8174133981768423
AIG,76.25,73.268,-3.910819672131147
AIZ,200.97999572753903,208.436,3.709824077501124
AJG,325.1300048828125,307.52400024414067,-5.41506608872276
AKAM,98.02999877929688,96.78400067138672,-1.2710375634252262
ALB,82.51000213623047,87.26200048828125,5.759299756416023
ALGN,198.0599975585937,219.30199865722656,10.725033505238066
ALL,189.17999267578125,190.02399938964845,0.44613952137828344
ALLE,127.11000061035156,130.5980008544922,2.744080109662576
AMAT,176.00999450683594,178.57999987792968,1.4601474071371146
AMD,114.16999816894533,124.39799969482424,8.958572032859124
AME,188.77999877929688,184.88799963378906,-2.0616586347465526
AMGN,297.92999267578125,288.1219973144531,-3.2920469917245248
AMP,541.010009765625,523.93799609375,-3.1555818494505976
AMT,192.3800048828125,204.7840001220703,6.447653043159886
AMZN,222.8800048828125,223.37399951171875,0.22164151924080702
ANET,103.4000015258789,114.19600061035158,10.441004763206557
ANSS,340.4599914550781,337.1840021972656,-0.9622244434100449
AON,393.0700073242188,380.05199877929687,-3.3118804035801697
AOS,66.79000091552734,67.78200030517579,1.4852513490800408
APA,23.6200008392334,22.735999893188477,-3.7425948968493423
APD,314.2799987792969,310.6999995117188,-1.1391113915881605
APH,69.37000274658203,70.91999938964844,2.2343903440926103
APTV,67.62000274658203,63.73999984741211,-5.737951407235109
ARE,95.5199966430664,98.36799945068358,2.9815775834450977
ATO,147.6199951171875,143.03200048828126,-3.1079764128593044
AVB,219.3800048828125,218.73800073242188,-0.292644788085205
AVGO,226.7400054931641,223.3540010986328,-1.493342291831852
AVY,184.2700042724609,189.98000048828126,3.098711718363872
AWK,128.6699981689453,125.05200073242186,-2.8118423004661715
AXON,541.8099975585938,599.8819975585936,10.718148476712027
AXP,303.8599853515625,309.6080007324219,1.8916657862037995
AZO,3406.659912109375,3331.826009765625,-2.1966942481620855
BA,180.8800048828125,178.12600122070313,-1.5225583744834688
BAC,45.29999923706055,44.95000030517578,-0.7726245867095528
BALL,50.45000076293945,51.8959998779297,2.8662023649610604
BAX,33.439998626708984,31.22600018310547,-6.620809014732328
BBY,90.94000244140624,85.99199932861328,-5.440953353812609
BDX,227.92999267578125,233.70599975585938,2.534114537657273
BEN,20.729999542236328,20.438000015258787,-1.4085843387628012
BG,71.26000213623047,76.84399993896484,7.836089861545656
BIIB,137.0800018310547,145.2780009765625,5.980448669391988
BK,87.16000366210938,83.71400036621094,-3.953652077915755
BKNG,5018.22998046875,4912.3260078125,-2.110384997667189
BKR,46.90999984741211,45.94199987792969,-2.0635258423174396
BLDR,144.38999938964844,155.21800134277345,7.499135673451141
BLK,989.3800048828124,979.2700004882812,-1.0218525080996228
